Date,Consumption,Income,Production,Savings,Unemployment
01/01/1970,0.6185664,1.044801332,-2.452485527,5.299014071,0.9
01/04/1970,0.451984019,1.225647192,-0.551459474,7.789893824,0.5
01/07/1970,0.87287178,1.585153835,-0.358651752,7.403984066,0.5
01/10/1970,-0.271847933,-0.239544865,-2.185690872,1.169898242,0.7
01/01/1971,1.901344959,1.975924949,1.909764364,3.535666928,-0.1
01/04/1971,0.914877346,1.445908528,0.901569522,5.874763572,-0.1
01/07/1971,0.794109641,0.521149113,0.308030708,-0.406235341,0.1
01/10/1971,1.645633164,1.159176094,2.291362138,-1.486258902,0
01/01/1972,1.311189694,0.456856714,4.154294954,-4.291972196,-0.2
01/04/1972,1.885777877,1.033389307,1.888672712,-4.692196362,-0.1
01/07/1972,1.529333612,1.9262949,1.265411446,5.92345399,-0.2
01/10/1972,2.319557542,3.929949222,3.439587472,16.07351412,-0.3
01/01/1973,1.809282167,0.755642728,2.794145253,-4.758983188,-0.3
01/04/1973,-0.045090607,0.84039233,0.832174484,8.615101103,0
01/07/1973,0.351353185,0.451026593,0.858624491,2.948063512,-0.1
01/10/1973,-0.298693387,1.088160784,1.482007949,10.83496394,0.1
01/01/1974,-0.898698756,-1.674191195,-0.886096555,-2.362510823,0.2
01/04/1974,0.359406448,-0.934440314,0.05894791,-6.301854444,0.3
01/07/1974,0.428641009,0.090325599,-0.394930181,0.446635085,0.5
01/10/1974,-1.47250253,-0.133675449,-4.050702226,10.98992843,1.3
01/01/1975,0.835247382,-0.150541834,-6.836039447,-5.177083807,1.4
01/04/1975,1.631487432,4.521868829,-1.3593996,23.73928068,0.2
01/07/1975,1.411240346,-1.464342333,2.425917882,-17.0840985,-0.4
01/10/1975,1.069591575,0.778693589,2.157845492,0.793714669,-0.2
01/01/1976,1.979659497,1.200323331,3.028707655,-2.419488152,-0.6
01/04/1976,0.915845347,0.566352705,1.269914997,-0.972669632,0
01/07/1976,1.047352162,0.777195746,1.327961799,0.393936094,0
01/10/1976,1.289140157,0.63245542,1.787684187,-2.854250493,0.2
01/01/1977,1.171798852,0.224476108,2.053569438,-6.273481578,-0.4
01/04/1977,0.540781433,0.935510359,3.051484792,5.83952627,-0.2
